lead_id,priority_tier,supplier_fit,lead_score,company_name,category,sub_category,area,contact_approach,phone,whatsapp,email,website,hardware_need,buying_trigger,expansion_signal,verification_status,address,source_type,source_url,size_hint,notes
L0016,A,SME - direct,90,VinFast Surat (Chandan Car),Automobile Dealership,Car dealer (EV - VinFast),Piplod,Dealer Principal / Owner,,,,https://vinfastauto.in/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Brand-new showroom inaugurated July 2025; EV after-sales setup,First VinFast India outlet; brand expanding to 35 dealers,Existence-verified (contact pending),"Piplod, Surat (3,000 sq.ft. showroom)",News article,https://www.autocarindia.com/industry/first-vinfast-india-showroom-inaugurated-in-surat-436380,New EV dealership (first VinFast showroom in India),Promoted by Chandan Car; greenfield EV outlet = full fresh IT fitout
L0035,A,SME - direct,88,Raghuvir Scarlet Textile Market,Textile Trade & Design,Textile market complex,Ring Road area,Raghuvir Developers project/sales office,,,,https://www.raghuvirdevelopers.com/,complex-wide networking + Wi-Fi; dense CCTV; bulk billing/POS desktops; server/NAS; AMC,NEW market launch - greenfield fit-out opportunity,"Newly launched, sets new benchmark (Loktej news)",Existence-verified (contact pending),"Raghuvir Scarlet Textile Market, Surat",News article,https://english.loktej.com/article/19352/raghuvir-scarlet-textile-market-sets-a-new-benchmark-in-surat%E2%80%99s,New large market complex,Hot greenfield lead - new build needs full IT/CCTV/network from scratch
L0056,A,SME - direct,84,Venus Jewel,Diamond & Bourse,Polished natural diamond manufacturer,Sumul Dairy Road,Owner/Partner (Hitesh R. Shah) or Admin/IT head,+91 261 253 1444,,vj.surat@venusjewel.com,https://www.venusjewel.com/,Diamond-planning workstations; integrated-facility managed networking; CCTV + biometric access; servers + NAS; AMC,Integrated manufacturing facility; premium high-value diamonds,Established large manufacturer with Surat + Mumbai ops,Contact found,"The Venus Estate, Near Shantiniketan Society, Sumul Dairy Road, Surat 395003",Company site + search snippet,https://www.venusjewel.com/stpg/Best-Diamond-Manufacturing-Unit.html,Since 1969; integrated Surat manufacturing facility,Premium polished diamonds; partner contact captured
L0058,A,SME - direct,84,R Wadiwala Securities Private Limited,Finance & Professional,Stock / commodity broker,Limda Chowk,Admin,08401974767,https://wa.me/918401974767,,https://www.rwsec.com/,multi-seat desktops + dealing terminals; data server + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,Branch network; portfolio mgmt & NRI services,"Branches at Parle Point, Rander Road, Limda Chowk",Contact found,"9/2003-4, Vishnu Priya, Main Road, Limda Chowk, Surat-395003",Company site,https://www.rwsec.com/,75+ yrs in business; multiple Surat branches,"Stock broking, PMS, NRI investment advisory"
L0052,A,SME - direct,84,Mahim Architect,Architecture & CAD/Engineering,AEC / Architecture-Engineering-Construction,Ghod Dod Road,Partner / Principal,,,,https://mahimarchitect.com/,GPU workstations for AEC + MEP 3D/CAD/BIM modelling; dual monitors; NAS/server for multi-office files; backup; structured networking; AMC,"Full AEC + valuation + MEP services; offices in Surat, Baroda, Ahmedabad, Rajkot",Multi-branch expansion across Gujarat,Existence-verified (contact pending),"A 1002, 1st Floor, Turning Point Complex, Ghod Dod Road, near Jamna Nagar BRTS, near Fire Station, Surat 395007",IndiaMART profile,https://www.indiamart.com/mahim-architect/aboutus.html,Mid-large (multi-branch),Architecture+Engineering+Construction+MEP; high compute/multi-seat need
L0053,A,SME - direct,84,Nanavati Toyota,Automobile Dealership,Car dealer (Toyota),Bhatpore (Magdalla-Hazira),Dealer Principal / IT Head,,,,https://www.nanavatitoyota.com/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Multi-city Toyota outlets + Udhna outlet,Nanavati Group multi-brand expansion,Existence-verified (contact pending),"220+328, GIDC Magdalla Hazira Road, GIDC Bhatpore, Opp ONGC, Surat 394510",Brand dealer site,https://www.nanavatitoyota.com/,Authorized Toyota dealer; Surat/Bharuch/Bardoli,Also Udhna-Sachin Road outlet; part of Nanavati Group
L0054,A,SME - direct,84,"Shreeji Automart (Tata Motors, Piplod)",Automobile Dealership,Car dealer (Tata Motors),Piplod,Dealer Principal / IT Head,,,,https://dealer-locator.cars.tatamotors.com/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Three+ Tata outlets across Surat,Expanding Tata + EV retail footprint,Existence-verified (contact pending),"No 04A/B, Shreeji House, Dumas Road, Opp Big Bazar, Piplod, Surat",Brand dealer site,https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-shreeji-automart-piplod-car-dealer-piplod-surat-77053/Home,Multi-outlet Tata dealer (Piplod/Katargam/Adajan),Also Katargam and Adajan (Gaurav Path) showrooms
L0060,A,SME - direct,84,Park Inn by Radisson Surat,Hospitality & Real Estate,Hotel (4-star),City Centre / near Tapi River,GM / IT Manager,,,,https://www.radissonhotels.com/en-us/hotels/park-inn-surat,PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; event AV; AMC,Newly opened property,New hotel launch (Radisson) - fresh IT fit-out window,Existence-verified (contact pending),Surat (within 7 km of Surat International Airport),Press release,https://www.radissonhotels.com/en-us/corporate/media/press-releases/opening-park-inn-by-radisson-surat,"New mid-large hotel, 185 sqm event space",Recently opened; new-build = strong greenfield IT/CCTV/Wi-Fi opportunity
L0061,A,SME - direct,84,Sangini Group,Hospitality & Real Estate,Real estate developer / Builder,Surat,Director / Purchase,,,,https://www.sanginigroup.com/,Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC,"Active residential + commercial pipeline (Skyteria, Lakeville)",71 completed projects; ongoing high-rises,Existence-verified (contact pending),Surat,Builder official site,https://www.sanginigroup.com/,"Major developer; 71 projects, 10M sq ft",One of Surat's largest developers; multiple active sites = recurring CCTV/IT
L0064,A,SME - direct,84,Dhiraj Sons The Mega Store,Retail & Supermarket,Departmental store / Supermarket chain (local),"Multiple (Athwalines, Althan, Surat Ho/Canal Rd, Vadod Gam, Sachin, Nanpura)",Owner / Purchase,,,,https://dhirajsons.com,bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server/NAS; AMC,Multi-store local chain across Surat,Established local mega-store chain expanding store count,Existence-verified (contact pending),Near Chowpati Athwa Gate Athwalines 395001; Sai Vittorio opp Atlanta Shopping Centre Althan 395007,Company website + JustDial,https://dhirajsons.com/,6+ mega stores in Surat; local chain,"Strong local Surat chain - groceries, garments, consumer durables; decisions likely local (high relevance)"
L0070,A,SME - direct,83,The Varachha Co-operative Bank Ltd,Finance & Professional,Co-operative bank,L H Road,Branch Manager,0261-4008000,,,https://www.varachhabank.com/,branch-wide desktops; core-banking servers + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,Branch network growth; banking-security compliance,Mota Varachha + multiple branches,Contact found,"AFFIL TOWER, L.H. Road, Surat-395006",Company site,https://varachhabank.com/branch/,Multi-branch UCB; HO + Sahkar Bhavan,"Alt office Sahkar Bhavan, Vrajchowk 0261-6918000"
L0072,A,SME - direct,83,DhiWise (DhiWise Private Limited / Rocket),IT & Software,SaaS product (design-to-code / AI dev tools),"Lal Darwaja (Station Road), Surat",Founder/Director (Vishal Virani) or IT/Eng Head,,,help@dhiwise.com,https://www.dhiwise.com/,High-spec dev workstations; rack servers + NAS; enterprise firewall + managed switches + Wi-Fi; CCTV/access control; AMC,"Founded 2021; raised ~$25.2M (Accel, India Quotient); rebranded to Rocket; $15M seed reported",VC-funded scale-up; occupies multiple floors of Infinity Tower; hiring,Contact found,"9th Floor, Office 901-906 & 919-924, Infinity Tower, Lal Darwaja Station Road, Surat 395003",Company website (contact page) + Tracxn,https://www.dhiwise.com/contact-us,"Medium (funded SaaS, large floor)",Top funding signal in Surat; large floor = significant infra/CCTV/AMC spend
L0073,A,SME - direct,83,Anjali Diamonds Pvt Ltd,Lab-Grown Diamond,CVD diamond grower / manufacturer,Surat,Owner/Director,+91 261 255 4151,,sales2@anjalidiamonds.com,,GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC,Grower of Type IIA CVD diamonds; GJEPC IIJS exhibitor; in-house growing,In-house CVD growing; GJEPC trade-show presence (IIJS Premiere),Contact found,3rd Floor Plot No 211-211 Paiky Surat 395006,ExportersIndia listing,https://www.exportersindia.com/anjali-diamonds-surat/,"Medium-large - grower of Type IIA CVD, GJEPC exhibitor",GJEPC exhibitor profile EXH209
L0068,A,SME - direct,83,XYXX Apparels,BPO/Logistics/Print,E-commerce/D2C,"Dumas Road / Kadodara Road, Surat",IT Head / Purchase,,,,https://xyxxcrew.com/,bulk office/design PCs; e-comm/ERP servers; networking + firewall; warehouse CCTV; barcode/handhelds; AMC,D2C innerwear scale-up; retail store rollout (incl Vesu Surat),Funded apparel brand; expanding retail + online,Existence-verified (contact pending),"510 Rajhans Montessa, Dumas Road, beside Le Meridien, Surat; 402-413 Sangini B Textile Hub, Surat-Kadodara Road, Surat - 395010",Dun & Bradstreet,https://www.dnb.com/business-directory/company-profiles.xyxx_apparels_private_limited.3e83b4da92e5d849417f6bf6ee435b3b.html,"Mid-large (funded, multi-store)",XYXX Apparels Pvt Ltd; registered office Surat; funded D2C menswear/innerwear
L0071,A,SME - direct,83,Synergy Imaging,Healthcare,Diagnostic / imaging centre (radiology),Ring Road,Centre Director / PACS/IT Manager,,,,https://synergyimaging.co.in/,PACS server + storage; MRI/CT reading workstations; reporting desktops; networking; CCTV; UPS; AMC,Latest 1.5T MRI + 128-slice CT = imaging compute + storage,Premier imaging center; modern modality suite,Existence-verified (contact pending),"UG 1-2 Jeevandeep Complex, Opp J.K. Tower, Near Nirmal Hospital, Ring Road, Surat 395002",Diagnostic centre website,https://synergyimaging.co.in/,1.5T MRI + dual-energy 128-slice CT + USG + digital X-ray,Strong imaging-workstation/PACS prospect; capture contact
L0074,A,SME - direct,82,ADDA Architects & Urban Designers,Architecture & CAD/Engineering,Architecture firm,Vesu,Principal Architect / Partner,91062 38875,https://wa.me/919106238875,studio@addaarchitects.in,https://www.addaarchitects.in/,GPU workstations (RTX) for AutoCAD/Revit/3ds Max rendering; large/dual monitors; NAS for project files; backup; networking; AMC,Operates Surat + Mumbai offices; active urban-design projects,Second office in Mumbai indicates growth,Contact found,"1001, Western Vesu Point, Opp. S.N.S Square, University Road, Vesu Cross Road, Surat, Gujarat 395007",Company website,https://www.addaarchitects.in/contacts,Mid (multi-office: Surat + Mumbai),Architecture + interior + urban design; strong rendering/compute need
L0076,A,SME - direct,82,Amar Cars (Maruti Suzuki Arena/Nexa),Automobile Dealership,Car dealer (Maruti Arena/Nexa),Kapodra,Dealer Principal / IT Head,9925246251,https://wa.me/919925246251,,https://amarcars.com/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Arena Kapodara + Nexa Adajan + Varachha workshop,Multiple Surat outlets plus other Gujarat cities,Contact found,"Amar Cars Arena Kapodara, Navjeevan Compound, Opp Jalaram Furniture, Kapodra, Surat",Brand dealer site,https://www.arenaofkapodara.com/,Multi-city Maruti dealer across Gujarat,Sales 9925246251; service 9081711990; Nexa Adajan at Marvella Business Hub
L0077,A,SME - direct,82,Shreenath Kia,Automobile Dealership,Car dealer (Kia),Adajan/Pal Gam,Dealer Principal / IT Head,9081924777,https://wa.me/919081924777,,https://shreenath-kia.in/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,4+ Kia outlets across Surat & Bardoli,Multi-branch Kia dealer group,Contact found,"Plot No 2, Sanskruti Township, Hazira Road, Adajan, Near RTO, Pal Gam, Surat",Brand dealer site,https://kiaindia-dealers.com/kia-car-showroom-shreenath-kia-adajan-car-dealer-pal-gam-surat-334946/Home,Multi-outlet Kia dealer (Adajan/Piplod/Bharthana/Bardoli),"Outlets: Adajan, Piplod, Bharthana (VIP Rd), Sahara Darwaja, Bardoli"
L0086,A,SME - direct,82,The Surat Mercantile Co-operative Bank Ltd,Finance & Professional,Co-operative bank,Lal Darwaja,Branch Manager,0261 2532933,,,https://www.sumcobank.com/,branch-wide desktops; core-banking servers + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,Branch network & ATM/CDM security upgrades,Multiple branches across Surat,Contact found,"""Utkarsh"" 7/359-360, Modi Compound, Lal Darwaja Main Road, Surat-395003",Company site,https://www.sumcobank.com/branch/,Multi-branch UCB with ATM network,"Branches incl Katargam, Khatodra, Bamroli"
L0087,A,SME - direct,82,The Surat People's Co-operative Bank Ltd,Finance & Professional,Co-operative bank,Nanpura,Branch Manager,0261-2464623,,customercare@spcbl.in,https://www.spcbl.in/,branch-wide desktops; core-banking servers + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,Branch network; data-security & ATM upgrades,Branch network expansion,Contact found,"Vasudhara Bhavan, Timaliawad, Nanpura, Surat-395001",Company site,https://www.spcbl.in/branch/,"Multi-branch UCB, ATM/CDM/safe-deposit",Toll-free 1800 233 7722; IFSC SPCB0251008
