category,surat_relevance,why_expanding_or_upgrading,primary_hardware,secondary_hardware,typical_decision_maker,hotspot_areas,avg_priority
Lab-Grown Diamond,"Surat is India's LGD capital; CVD/HPHT capacity growing fast","New reactors & units opening monthly; export boom; greenfield factories = fresh full IT fit-outs","GPU workstations (planning/grading); reactor-control PCs; rack servers + NAS","Heavy multi-camera CCTV; biometric access; managed switches; Wi-Fi; AMC","Owner/Director; Factory/IT Manager","Katargam, Varachha, Sachin GIDC, Ichchhapore",A
Diamond & Bourse,"World's largest diamond cutting hub; Surat Diamond Bourse (Khajod) now operational","Firms relocating/opening SDB offices = new networking+CCTV+seats; export growth","Diamond-planning workstations (Sarine/DiamCalc); multi-floor networking; servers","High-density CCTV + access control; biometric; NAS; office desktops; AMC","Owner/Partner; Admin/IT/Security Head","Mahidharpura, Varachha, Katargam, SDB Khajod",A
IT & Software,"293+ IT/software firms; fast-growing tech scene","Headcount growth, new offices, hardware refresh cycles, client SLAs","Developer workstations; rack servers; NAS","Firewall + managed switches + Wi-Fi; office CCTV; backup; AMC","Founder/Director; IT/Admin Head","Adajan, Vesu, Piplod, Citylight, Ghod Dod Rd",A
GIDC Manufacturing,"Major industrial belts: Sachin, Pandesara, Hazira, Kadodara","Capacity expansion, Industry-4.0/automation, new lines, exports","ERP/SAP servers + storage; plant & office desktops; industrial PCs","Large-area CCTV; networking + Wi-Fi; biometric access; AMC","IT Manager; Plant Head; Purchase; Director","Sachin GIDC, Pandesara, Hazira, Kadodara, Palsana",A
Healthcare,"Dense hospital & diagnostics market","New wings/branches, new imaging machines, NABH/digitisation, EMR rollout","HIS/EMR servers + storage; PACS imaging workstations","Reception/billing PCs; networking + Wi-Fi; CCTV; UPS; AMC","Hospital Administrator; IT Manager; Purchase; Owner-doctor","Ring Road, Adajan, Athwa, Majura Gate, Udhna",A
Education,"Many universities, engineering/IT colleges, big schools, coaching hubs","New campuses/buildings, lab upgrades, NAAC/NBA, more seats, smart classes","Computer-lab desktops (bulk); lab servers","Campus networking + Wi-Fi; CCTV; smart panels/projectors; AMC","Principal/Director; Trustee; IT Head; Admin","Vesu, Magdalla, Bardoli, Kamrej, City",A
Media/Video/Photo,"Strong wedding-cinematography & content culture","4K/8K upgrades, new studios, growing creator economy","GPU editing workstations / Mac Studio; fast NAS + backup","10G networking; color-grade monitors; render storage; AMC","Owner/Founder; Creative Director","Adajan, Citylight, Athwa, Ghod Dod Rd",B
Architecture & CAD/Engineering,"Building boom drives design demand","More projects, larger models, render upgrades, team growth","GPU workstations (AutoCAD/Revit/3ds Max/Lumion); large monitors","NAS for projects; backup; networking; AMC","Principal Architect; Partner; Owner","Vesu, Citylight, Athwa, Piplod",B
Textile Manufacturing,"India's largest man-made-fabric hub","Capacity expansion, new sheds, modernisation, ERP adoption","ERP/Tally servers; shop-floor & billing PCs","Large-area CCTV; networking + Wi-Fi; biometric attendance; AMC","Owner/Director; Factory/Admin Manager","Pandesara, Sachin, Palsana, Kadodara, Kim",B
Jewellery,"Diamond-city jewellery manufacturing & retail","New showrooms/branches; security mandates; festive scaling","High-density CCTV + access control; POS/billing PCs","Jewellery CAD workstations; networking; server/NAS; AMC","Owner/Director; Store/Admin Manager","Varachha, Mahidharpura, Ghod Dod Rd, City",B
Textile Trade & Design,"Ring Road textile markets: thousands of trading firms","Digitisation, e-commerce push, market complexes upgrading IT","Bulk billing/POS desktops; dense CCTV","Complex-wide networking + Wi-Fi; server/NAS; textile-CAD; AMC","Owner/Partner; Market/Association office","Ring Road, Salabatpura, Sahara Darwaja",B
Hospitality & Real Estate,"Growing hotels and a construction boom","New hotels/properties/projects; renovations; sales galleries","(Hotel) PMS server + front-desk PCs; (Builder) site CCTV + office PCs","Guest Wi-Fi + networking; CCTV; server/NAS; AMC","GM/Owner/IT Mgr (hotel); Director/Purchase (builder)","Athwa, Piplod, Vesu, City, Dumas Rd",B
BPO/Logistics/Print,"Back-office, transport and print clusters","New seats/centres, client wins, new warehouses, press upgrades","(BPO) bulk desktops + headsets; (Print) pre-press color workstations","Servers; networking + firewall; CCTV; barcode/handhelds; AMC","Owner; Operations Manager; IT Head; Purchase","Udhna, Sachin, Katargam, City",B
Finance & Professional,"Large CA/broker/co-op-bank community","New branches, team growth, data-security & compliance upgrades","Multi-seat desktops/workstations; Tally/data server + NAS backup","Networking + firewall; CCTV; UPS; AMC","Partner/Proprietor; Branch Manager; Admin","Ghod Dod Rd, Citylight, Nanpura, Athwa",B
Government & PSU,"Surat is a Smart City; SMC + Hazira PSUs spend big","Smart-city CCTV rollout, e-governance digitisation, new offices; bulk tenders","Bulk office desktops; data-centre servers + storage; city/campus CCTV + command centre","Networking + Wi-Fi; access control; AMC (GeM/tender route)","Dept Head; IT Officer; Purchase/Tender cell","SMC zones, Hazira, Collectorate, Athwa",A
Automobile Dealership,"Dense multi-brand dealer & service network","New showrooms/EV (Nexa/EV) outlets, service-centre expansion","DMS/billing desktops; showroom + workshop + lot CCTV; digital signage","Networking + guest Wi-Fi; server/NAS; AMC","Dealer Principal/Owner; GM; Admin/IT","Ring Road, Udhna, Dumas Rd, Varachha, Adajan",B
Retail & Supermarket,"Fast-growing organised retail & chains","New store/branch openings, format upgrades, chain expansion","Bulk POS/billing desktops; loss-prevention CCTV; per-store networking","Digital signage; back-office server/NAS; Wi-Fi; AMC","Owner; Store/Operations Manager; IT/Purchase","City, Adajan, Vesu, Ghod Dod Rd, malls",B
Food & Hospitality SME,"Dense F&B scene; new outlets open constantly","New restaurant/cafe/cloud-kitchen openings; POS & CCTV upgrades","POS/billing PCs; KOT printers; CCTV","Wi-Fi + networking; small NAS; AMC","Owner/Proprietor; Manager","Adajan, Vesu, Citylight, Piplod, Ghod Dod Rd",B
Wellness & Clinics SME,"Booming gyms, salons & owner-run clinics","New clinic/branch, equipment add, digitisation","Reception/billing PCs; CCTV; biometric access","Wi-Fi + networking; small server/NAS; AMC","Owner-doctor/Proprietor; Manager","Adajan, Vesu, Athwa, Citylight",B
Local Retail SME,"Thousands of independent (non-chain) shops","Second shop, billing & CCTV adoption","POS/billing desktops; CCTV","Networking + Wi-Fi; AMC","Owner/Proprietor","City, Varachha, Adajan, Katargam, Udhna",B
Professional Services SME,"Large base of solo/small professional firms","Team growth, data-security, digitisation","Desktops/workstations; server + NAS backup","CCTV; networking + firewall; UPS; AMC","Proprietor/Partner","Ghod Dod Rd, Nanpura, Citylight, Athwa",B
SME Manufacturing & Jobwork,"Vast MSME job-work & small-unit base","New machine/shed, capacity add, ERP/billing adoption","Billing/ERP PCs; shop-floor CCTV","Networking + Wi-Fi; biometric attendance; AMC","Owner/Proprietor","Sachin, Pandesara, Katargam, Kadodara, Udhna",B
Diamond/Jewellery/Textile Micro-SME,"Core Surat trades at micro/SME scale","New unit/shop, security & billing upgrades","Planning/billing PCs; CCTV (critical)","Networking + Wi-Fi; NAS; AMC","Owner/Proprietor","Mahidharpura, Varachha, Katargam, Ring Road markets",B
