company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
The Production House|Media/Video/Photo|Video production / ad films|Athwalines|82, Narmad Nagar, Tennis Club, Athwalines, Surat|https://theproductionhouse.in/|+91 98201 40207|modishaivi@gmail.com|https://in.linkedin.com/company/the-production-house-surat|LinkedIn/company site|11-50 employees; Mumbai/Dubai/Surat|GPU editing workstations; high-speed NAS & render storage; 10G networking; color-grading monitor; backup; AMC|Web series & YouTube shows scaling 4K content|Multi-city (Mumbai/Dubai/Surat); founded 2020; 11-50 staff|82|A|Owner/Founder|Contact found|Full-service: ads, product shoots, corporate films, web series, YouTube; strong growth signal
Aadharshila|Media/Video/Photo|Corporate video production|Race Course (Vadodara base, serves Surat)|34, Third Floor, Meghdhanush, Race Course, Vadodara 390007|https://aadharshila.com/video-production-company-in-surat/|+91 73833 21779|connect@aadharshila.com|https://aadharshila.com/contact/|Company website|38+ yrs branding/marketing|GPU workstations for motion graphics/2D-3D; render storage; NAS; color-grading; AMC|Corporate 4K video demand; motion graphics expansion|38 yrs in business; multi-city Gujarat network|74|B|Creative Director/Owner|Contact found|HQ Vadodara serving Surat; corporate films + 2D/3D animation; established player
Empty Mind Entertainment|Media/Video/Photo|Film/ad production|Amroli|211 Second Floor Laksh Plaza, Surat - 394107|https://www.youtube.com/c/EmptyMindEntertainment1|+91 7942560620|emptymindentertainment@gmail.com|https://www.indiamart.com/empty-mind-entertainment/|IndiaMART listing|Est. 2016; SME|GPU editing rigs; fast storage for documentary/ad footage; backup; AMC|Documentary & ad-film shoots at 4K|Active since 2016; YouTube channel + commercial work|68|B|Owner/Founder (Ankit Kabariya)|Contact found|Video shoot, production & advertising services; contact person Ankit Kabariya
Mahir Films|Media/Video/Photo|Ad film production house|Surat|Surat, Gujarat|https://www.mahirfilms.com/|||https://www.mahirfilms.com/|Company website|SME; Isha TV franchise|GPU editing workstations; render storage; NAS; color-grading; AMC|TV commercials & cinema ads volume|Franchise of Isha TV Mumbai; TVC for FMCG/jewellers|66|B|Owner/Founder (Jigar Padaya)|Existence-verified (contact pending)|Owner Mr. Jigar Padaya; TVCs, cinema ads, e-commerce/jewellery ads. JustDial corporate-ad-filmmaker listing also confirms
K.S Films|Media/Video/Photo|Film/ad production house|Surat|Surat, Gujarat||||https://adbizdirectory.com/business/ksfilms-production-house|Business directory|SME; in-house post team|GPU editing + VFX workstations; render farm storage; NAS; color-correction monitor; sound; AMC|In-house VFX/post pipeline expansion|Full pre-to-post incl. VFX, color, sound mixing in-house|67|B|Owner/Founder|Existence-verified (contact pending)|Films, drama, ad commercials, serials; in-house VFX/edit/color/sound
Meet My Media|Media/Video/Photo|Video production|Surat|Surat, Gujarat|https://meetmymedia.com/video-production-surat/|||https://meetmymedia.com/video-production-surat/|Company website|Fast-growing SME|GPU editing workstations; fast NAS; backup; color-grading; AMC|Brand films/social ads volume growth|Described as one of fastest-growing video cos in Surat|63|B|Founder/Creative Director|Existence-verified (contact pending)|Brand films, testimonials, social media ads for brands & creators
Sanskruti|Media/Video/Photo|Video/music-video production|Surat|Surat, Gujarat|https://sanskruti.ueniweb.com/|||https://sanskruti.ueniweb.com/|Company website (UENI)|SME|GPU editing rigs; fast storage for music-video footage; backup; AMC|Music videos & social shorts at 4K|Creative direction, broadcast, events coverage|60|B|Founder/Creative Director|Existence-verified (contact pending)|Music video + video production; storyboarding, broadcast, social shorts
Maya Mediaworks|Media/Video/Photo|Video / motion graphics / advertising|Pal Gam|Shop No.412-A, The Galleria, Opp Pal RTO, Near Sanjivkumar Auditorium, Pal Gam, Surat-395009|https://www.mayamediaworks.com/|||https://www.mayamediaworks.com/|Company website|Est. 2021; SME|GPU workstations for 2D-3D/motion graphics; render storage; NAS; AMC|2D-3D animation & motion graphics demand|Founded 2021; creative video + animation focus|62|B|Owner/Creative Director|Existence-verified (contact pending)|2D-3D animation, motion graphic, logo animation; advertising agency
CK Studio|Media/Video/Photo|Product video & ecommerce photography|Athwa Lines / Varachha / Piplod|Serving Ring Road, Varachha, Vesu, Surat|https://ckstudio.in/surat/|+91 8700258773||https://ckstudio.in/gujarat/product-video-maker-in-surat/|Company website|8+ yrs; SME|GPU workstations for product video edit; fast storage; color-accurate monitors; NAS; backup; AMC|Ecommerce/Amazon/Flipkart product video volume|8+ yrs; serves brands/retailers across Surat|66|B|Owner/Founder|Contact found|Product videography, ecommerce + jewellery photography; multi-area Surat coverage
Kenit Patel Photography|Media/Video/Photo|Product/ecommerce photography studio|Vesu|Studio in Vesu, Surat|https://kenitpatel.com/product-photography-surat|||https://kenitpatel.com/|Company website|SME; 100+ sellers served|Color-accurate workstations; fast storage for high-res product images; NAS; backup|Marketplace-ready ecommerce shoot volume (Amazon/Flipkart/Myntra/Meesho)|Trusted by 100+ Surat sellers, textile & jewellers|61|B|Owner/Founder (Kenit Patel)|Existence-verified (contact pending)|Ecommerce, jewellery, saree/garment product photography; walk-in studio Vesu
