company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Nilkanth Techno Engineering|SME Manufacturing & Jobwork|Sheet metal / CNC / VMC fabrication job work|AK Road, Surat|Plot No.8, A.K.Road, Gothan Ind. Co-op. House Society, beside Vrundavan Estate, AK Road, Surat - 395008||||https://www.indiamart.com/proddetail/industrial-sheet-metal-fabrication-cnc-and-vmc-job-work-2851153392188.html|IndiaMART|11-25 employees, turnover 40L-1.5Cr (IndiaMART)|shop-floor CCTV; networking + Wi-Fi; design/CAM PCs; biometric attendance; AMC|Multiple machines added (laser cutter, VMC, CNC) indicates capacity expansion|IndiaMART member since 2019; multi-machine setup|72|B|Vrajesh Savaliya (contact person)|Existence-verified (contact pending)|Fiber laser, VMC, CNC, laser welding machines listed; engineering job shop
CNC Shop Floor|SME Manufacturing & Jobwork|CNC turning / VMC milling job work|Udhna, Surat|D-303, Udhana Udhyognagar Sangh Complex, Central Road, Udhna, Surat - 394210|https://www.cncshopfloor.in/|+91 8047300363||https://www.indiamart.com/proddetail/cnc-machining-workshop-job-shop-2854606152162.html|IndiaMART|Small-medium engineering job shop|design/CAM PCs; shop-floor CCTV; networking + Wi-Fi; biometric attendance; AMC|Multi-axis (4/5 axis) machining capability suggests new equipment investment|Offers 4/5 axis milling, turn-mill - growing capability|74|B|Chirag Chodvadiya (Director)|Contact found|IndiaMART proxy number; VTL, heavy-duty turning services
Jetaa Engineering And Technology|SME Manufacturing & Jobwork|VMC machine job work|Udhana Udhyognagar, Surat|Plot No. B/15/12 Paiki B Ground Floor, Udhana Udhyognagar, Surat - 394210||||https://www.indiamart.com/proddetail/vmc-machine-job-work-services-15946415348.html|IndiaMART|Small VMC job-work unit|design/CAM PCs; shop-floor CCTV; networking; biometric attendance; AMC|VMC job-work capacity build|Industrial estate location|62|B||Existence-verified (contact pending)|VMC machine job work services at reasonable price
Hemaxi Industries Private Limited|SME Manufacturing & Jobwork|CNC turning / VMC job work|AK Road, Surat|A-21/a/2, Patel Nagar, Near Mahadev Temple, A. K. Road, Surat - 395008||||https://www.indiamart.com/proddetail/cnc-turning-and-vmc-machine-job-work-21672617955.html|IndiaMART|Small Pvt Ltd engineering unit|design/CAM PCs; shop-floor CCTV; networking + Wi-Fi; biometric attendance; AMC|CNC + VMC combined capacity|Pvt Ltd structure, dual-process capability|64|B||Existence-verified (contact pending)|CNC turning and VMC machine job work
Parmar Engineering Works|SME Manufacturing & Jobwork|Sheet metal fabrication / press parts|Surat|Surat, Gujarat (est. 2003)||||https://www.indiamart.com/proddetail/cnc-sheet-metal-fabrication-8856086348.html|IndiaMART|Established 2003, small-medium fabricator|shop-floor CCTV; networking; control-panel assembly PCs; biometric attendance; AMC|Manufactures electrical control panels - electronics-adjacent demand|20+ years in business; sheet metal + panels|63|B||Existence-verified (contact pending)|Lab tables, control panels, sheet metal press parts, cutting/bending job work
Vishwakarma Fabrication|SME Manufacturing & Jobwork|Metal components fabrication job work|Surat|Surat, Gujarat|https://www.indiamart.com/vishwakarmafabrication-91928660/fabrication-work.html|||https://www.indiamart.com/vishwakarmafabrication-91928660/fabrication-work.html|IndiaMART|Small fabrication unit|shop-floor CCTV; networking; biometric attendance; billing PC; AMC|Composite fabrication / panel box work|Metal components + panel box maker|58|C||Existence-verified (contact pending)|Sheet metal panel box, composite fabrication
R.Barot And Company|SME Manufacturing & Jobwork|Laser cutting job work|Surat|Surat, Gujarat||+91 8047646625||https://dir.indiamart.com/impcat/laser-cutting-services.html|IndiaMART|Small laser-cutting job shop|design/CAM PCs; shop-floor CCTV; networking; biometric attendance; AMC|Laser cutting capacity (Rs 10/sq ft pricing)|Job-work laser cutting service|60|B||Contact found|IndiaMART proxy number; laser cutting at Rs 10/sq ft
Accurate Cutting Services|SME Manufacturing & Jobwork|Laser / metal cutting job work|Surat|Surat, Gujarat||+91 8047305270||https://dir.indiamart.com/impcat/laser-cutting-services.html|IndiaMART|Small cutting job shop|design/CAM PCs; shop-floor CCTV; networking; biometric attendance; AMC|Cutting services capacity|Job-work cutting service|58|C||Contact found|IndiaMART proxy number; cutting at Rs 20/piece
Maharsh Metal Heat Treatment|SME Manufacturing & Jobwork|Metal heat treatment / cutting job work|Surat|Surat, Gujarat||+91 8047639973||https://dir.indiamart.com/impcat/laser-cutting-services.html|IndiaMART|Small metal-processing unit|shop-floor CCTV; networking; biometric attendance; billing PC; AMC|Heat-treatment + cutting capacity|Specialist metal finishing job shop|58|C||Contact found|IndiaMART proxy number; laser cutting at Rs 23/sq ft
Revathi Plastic And Engg. Works|SME Manufacturing & Jobwork|Plastic injection molding job work|Udhna, Surat|Plot No. 24, Hari Ichha Industrial Society, Udhna Main Road, Surat - 394210||||https://www.indiamart.com/proddetail/plastic-injection-molding-parts-14064309173.html|IndiaMART|Small plastic + engineering unit|shop-floor CCTV; networking; molding-line PCs; biometric attendance; AMC|Injection molding parts production|Plastic molded parts, bobbins, washers|60|B||Existence-verified (contact pending)|Plastic molded parts, PCB feet, axle bumpers
