company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Kiran Multi Super Speciality Hospital & Research Center|Healthcare|Multispecialty / super-speciality hospital|Katargam|Vasta Devdi Road, Near Sumul Dairy, Katargam, Surat 395004|https://www.kiranhospital.com/|+91 261 716 1111||https://www.kiranhospital.com/contact_us|Hospital website|~900 beds; 45+ specialties; 300+ doctors|HIS/EMR servers + storage; PACS imaging workstations (CT/MRI/nuclear med); reception/billing desktops; large LAN + Wi-Fi; CCTV; UPS-backed; AMC|In-house CT/MRI/nuclear medicine and radio-oncology imply ongoing PACS/workstation refresh|One of Gujarat's largest hospitals; cancer research center; continual expansion|95|A|Hospital Administrator / IT Manager / Purchase|Contact found|900-bed flagship; massive imaging+HIS footprint; top priority
Sunshine Global Hospital|Healthcare|Multispecialty hospital (NABH)|Piplod|Beside Smart Bazar, Dumas-Piplod Road, Surat 395007|https://www.sunshineglobalhospitals.com/|02614111000||https://www.sunshineglobalhospitals.com/location/surat|Hospital website|220 beds; NABH accredited|HIS/EMR servers + storage; PACS imaging workstations; billing/reception desktops; networking + Wi-Fi; CCTV; UPS; AMC|NABH accreditation drives IT/data compliance upgrades|Multi-city chain; Surat unit near new airport; growth corridor|86|A|Hospital Administrator / IT Manager|Contact found|NABH + chain = structured procurement; strong fit
SIDS Multi Super Speciality Hospital & Research Centre|Healthcare|Multi super-speciality hospital|Ring Road / Majura Gate|Off Ring Road, Near Shell Petrol Pump, Sosyo Circle Lane, Surat 395002|https://www.sidshospital.com/|+91 261 280 0000|sids.adm@gmail.com|https://theprint.in/ani-press-releases/sids-hospital-in-surat-transforms-into-a-multi-super-speciality-healthcare-hub-expanding-services-and-relocating-to-a-state-of-the-art-facility/1784475/|News / press release|Expanded multi super-speciality; new state-of-art facility|HIS/EMR servers + storage; PACS workstations; new-building structured cabling + networking + Wi-Fi; CCTV; UPS; AMC|Just transformed to multi-super-speciality and RELOCATED to new facility (fresh fit-out)|Active relocation + service expansion = greenfield IT buying|90|A|Hospital Administrator / IT Manager / Purchase|Contact found|Relocation to new facility = hot greenfield trigger
Shalby Multi-Speciality Hospital|Healthcare|Multispecialty hospital|Adajan|Nr Navyug College, Rander Road, Adajan, Surat 395009|https://www.shalby.org/hospitals/surat-shalby/|||https://www.shalby.org/hospitals/surat-shalby/|Hospital website|243 beds; tertiary care; national chain|HIS/EMR servers + storage; PACS workstations; billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|National chain standardization; oncology/robotic services need imaging compute|Listed-company chain (Shalby Ltd); ongoing expansion|82|A|Hospital Administrator / IT Manager (often central procurement)|Existence-verified (contact pending)|Large chain; procurement may be centralized; high spend
Nirmal Hospital Pvt Ltd|Healthcare|Multispecialty / tertiary care hospital|Ring Road / Sagrampura|No 2/1423-8-6, Near Centre Point, Ring Road, Sagrampura, Surat 395002|https://nirmalhospitals.in/|02612333999|corporate@nirmalhospitals.com|https://nirmalhospitals.in/contact/|Hospital website|120 beds; oncology+multi-specialty tertiary|HIS/EMR servers + storage; PACS workstations (oncology imaging); billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|Oncology/neuro/critical-care lines drive imaging + data infra|Established tertiary center; multi-line growth|81|A|Hospital Administrator / IT Manager / Purchase|Contact found|Corporate email present; 30-line phone bank = sizable ops
Tristar Hospital|Healthcare|Multispecialty hospital|Nanpura / Athwa Gate|Nanpura New Rd, opp T & TV High School, Athwa Gate, Surat 395001|https://tristarhospitals.com/|02612200000||https://tristarhospitals.com/|Hospital website|250+ beds|HIS/EMR servers + storage; PACS workstations; billing/reception desktops; networking + Wi-Fi; CCTV; UPS; AMC|Large bed count + multi-specialty = HIS scale-up and CCTV coverage|250+ bed facility; established multispecialty|82|A|Hospital Administrator / IT Manager / Purchase|Contact found|Large bed base; strong networking/CCTV recurring need
BAPS Pramukh Swami Hospital|Healthcare|Multispecialty charitable hospital|Adajan|Shri Pramukh Swami Maharaj Marg, Adajan Char Rasta, Adajan, Surat 395009|https://surat.nic.in/public-utility/baps-pramukh-swami-hospital/|||https://surat.nic.in/public-utility/baps-pramukh-swami-hospital/|Government directory|Large charitable multispecialty (radiology, neuro, etc.)|HIS/EMR servers + storage; PACS workstations (radiology); billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|Radiology dept + high patient volume; trust-funded capex|Major charitable trust hospital; ongoing service breadth|78|A|Hospital Administrator / Trust Purchase Committee|Existence-verified (contact pending)|Trust-run; committee buying; reliable existence (govt listing)
Adventist Wockhardt Heart Hospital|Healthcare|Super-speciality cardiac hospital|Athwalines|K Desai Marg, Opposite Chowpatty, Athwalines, Surat|https://surat.nic.in/public-utility/adventist-wockhardt-heart-hospital/|02616694444||https://surat.nic.in/public-utility/adventist-wockhardt-heart-hospital/|Government directory|Cardiac super-speciality|HIS/EMR servers; cath-lab/cardiac imaging workstations; billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|Cardiac cath-lab imaging needs dedicated workstations + storage|Established branded cardiac center|76|A|Hospital Administrator / IT Manager|Contact found|Cardiac imaging = high-value workstation/storage need
Bharat Cancer Hospital & Research Institute|Healthcare|Cancer multispecialty hospital|Saroli|Manavdaya Trust Sankul, Surat-Bardoli Road, Saroli, Surat 395010|https://bharatcancerhospital.com/|0261-6677109|bharatcancerhospital@gmail.com|https://bharatcancerhospital.com/contcat.php|Hospital website|Large cancer + Nirali radiation centre|HIS/EMR servers + storage; PACS + radiotherapy planning workstations; billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|Gamma Knife, CAR-T, radiation centre = heavy imaging/compute|Pioneering advanced therapies; research institute growth|85|A|Hospital Administrator / IT Manager / Purchase|Contact found|Radiation oncology = high-spec imaging workstations + storage
Shri B.D. Mehta Mahavir Heart Institute|Healthcare|Super-speciality cardiac institute|Nanpura / Ring Road|Shree Mahavir Health Campus, Ring Road, Opp Jivan Bharti School, Nanpura, Surat 395001|https://www.mahavirhospital.com/|0261-2471770||https://www.mahavirhospital.com/ContactUs.aspx|Hospital website|110 beds; 2 cath labs; 2 cardiac OTs; 24h pathology|HIS/EMR servers; cath-lab imaging workstations; lab/billing desktops; networking + Wi-Fi; CCTV; UPS; AMC|Two cath labs + automated pathology = imaging + lab IT|Charitable cardiac institute; established cath-lab ops|78|A|Hospital Administrator / IT Manager|Contact found|Dual cath labs + lab automation; strong imaging fit
