company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Anupam Rasayan India Ltd|GIDC Manufacturing|Specialty Chemicals|GIDC Sachin|8110, Sachin G.I.D.C. Estate, Sachin, Surat 394230, Gujarat|https://www.anupamrasayan.com/|+91-261-2398991|offeratthe@anupamrasayan.com|https://www.anupamrasayan.com/investors/contact-us|Company website|Large (listed; ~30000 MT capacity; 6 plants)|ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|Capacity expansion across Sachin & Jhagadia; Dec 2025 acquisition of Jayhawk Fine Chemicals (US) ~USD 150M|Pharma segment revenue share growing; new capacity; US acquisition|92|A|IT Manager / Plant Head / Purchase|Contact found|Listed specialty chemicals custom synthesis; 4 plants at Sachin
Aether Industries Ltd|GIDC Manufacturing|Specialty Chemicals|GIDC Sachin|Plot No. 8202/1, Road No. 8, GIDC Industrial Estate, Sachin, Surat, Gujarat|https://aether.co.in/|||https://aether.co.in/about-us/|Company website|Large (listed; ~9596 MTPA across Surat sites FY24)|ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|Site 3 commercialized (Rs 190cr); Facility 4 commissioned Mar 2024; new units Gujarat ~Rs 1000cr|Multiple new manufacturing sites; IPO-funded expansion|92|A|IT Manager / Plant Head / Purchase|Existence-verified (contact pending)|Advanced intermediates & active ingredients; ISO/GMP certified
Ami Organics Ltd (Acutaas Chemicals Ltd)|GIDC Manufacturing|Specialty Chemicals / Pharma Intermediates|GIDC Sachin|Plot No 440/4,5,6,8206-B,478,479 & 494, Road No 82/A & 82/C, GIDC, Sachin, Surat|https://www.amiorganics.com/|||https://www.amiorganics.com/|Company website|Large (listed; 5 facilities; 130+ R&D team)|ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|Rs 190cr brownfield plant Ankleshwar; ~3x capacity expansion completed FY24-Q4FY25|Renamed Acutaas 2025; new facility commenced ops|90|A|IT Manager / R&D Head / Purchase|Existence-verified (contact pending)|DSIR-certified R&D at Sachin; advanced pharma intermediates
Colourtex Industries Pvt Ltd|GIDC Manufacturing|Dyes & Dye Intermediates|Pandesara|Plot No 158/3 Survey No 80, G.I.D.C. Pandesara, Surat 394221|https://colourtex.co.in/|||https://colourtex.co.in/about-us/|Company website|Large (largest dye producer in Indian subcontinent; ~100000 t/yr)|ERP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|Backward integration; 6 MW cogen power plant; large landfill site; bluesign/Responsible Care|Largest dyestuff company in subcontinent; 750+ product mix|85|A|IT Manager / Plant Head / Purchase|Existence-verified (contact pending)|Founded 1967; dyes, pigments, specialty chemicals
Vimal Agro Products Pvt Ltd|GIDC Manufacturing|Food / Agro Processing|Bardoli (Surat dist)|Near GIDC, Ten Road, Bardoli, Surat 394601, Gujarat|https://www.vimalagro.com/|+91 2622 222759|info@vimalagro.com|https://www.vimalagro.com/contact-us/|Company website|Medium-Large (exports 80+ products; SWAD brand)|ERP servers; office & plant desktops; cold-chain/process CCTV; networking + Wi-Fi; biometric access; AMC|Exports to global markets; wide product range expansion|Founded 1988; 80+ food products; exporter|72|B|IT Manager / Purchase / Director|Contact found|SWAD brand; canned veg, fruit pulp, pickles, ready-to-eat
Sun Textile Engineers|GIDC Manufacturing|Engineering / Heavy Fabrication|GIDC Sachin|A-1, Shed No. 441/2, GIDC, Sachin, Surat 394230, Gujarat|https://www.suntextile.in/|||https://www.suntextile.in/|Company website|Medium (~150 staff; 30000 sq.ft shop floor)|ERP/design workstations; CAD desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Fabrication of pressure vessels & chemical plants; established capability|Since 1976; critical pressure vessel fabrication|66|B|Plant Head / Purchase / Director|Existence-verified (contact pending)|Thermic fluid heaters, dyeing machines, vessels, boilers
Larsen & Toubro (A.M. Naik Heavy Engineering Complex)|GIDC Manufacturing|Heavy Engineering / Process Plant Equipment|Hazira|Gate No. 10, A M Naik Heavy Engineering Complex, PO Bhata, Surat 394510, Gujarat|https://www.larsentoubro.com/heavy-engineering/|+91 261 2203252|ltshf.sales@larsentoubro.com|https://www.larsentoubro.com/heavy-engineering/capabilities/manufacturing-facilities/hazira|Company website|Very Large (750+ acres; ultra-heavy equipment; nuclear/process plant)|ERP/SAP servers + storage; large engineering workstation fleet; industrial/rugged PCs; very large-area CCTV; enterprise networking + Wi-Fi; biometric access; AMC|Critical large-sized ultra-heavy equipment for process plant & nuclear sectors; ongoing orders|Major manufacturing complex; defence/nuclear/process plant focus|95|A|IT Manager / Plant Head / Purchase|Contact found|1.6 km waterfront; heavy forgings & special steels
KRIBHCO (Krishak Bharati Cooperative Ltd) Hazira|GIDC Manufacturing|Fertilizer / Process Plant|Hazira|Hazira Fertilizer Complex, P.O. KRIBHCO Nagar, Surat 394515, Gujarat|https://www.kribhco.net/|0261-2862766|chandrasekharan@kribhcosurat.com|https://www.kribhco.net/contact.html|Company website|Very Large (urea/ammonia fertilizer complex)|ERP servers + storage; plant DCS-adjacent desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|Large process plant operations; possible distillery/diversification|Established cooperative fertilizer major at Hazira|90|A|IT Manager / Plant Head / Purchase|Contact found|Nitrogenous fertilizers, primarily urea
Adani Wilmar Ltd (AWL Agri Business) Hazira|GIDC Manufacturing|Food / Edible Oil Processing|Hazira|Hazira, Surat (near Hazira sea port), Gujarat|https://www.adaniwilmar.com/|||https://www.adaniwilmar.com/en/factory-locator|Company website|Very Large (2500 t/day refining; one of largest)|ERP/SAP servers + storage; automated-plant desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC|New automated plant (2019); 14-km pipeline to sea port under construction; capacity scale-up|Fully-automated high-tech plant; logistics expansion|88|A|IT Manager / Plant Head / Purchase|Existence-verified (contact pending)|Fortune brand; JV Adani + Wilmar; process engineer hiring 2026
Sahajanand Valves Pvt Ltd (Swastik)|GIDC Manufacturing|Engineering / Industrial Valves|GIDC Sachin|Plot No 5616, Road No 56, GIDC Sachin, Surat 394520, Gujarat|https://www.swastikvalves.in/|+91 261 2397367|sales@swastikvalves.in|https://www.indiamart.com/svpl/profile.html|IndiaMART / company|Medium (industrial valve manufacturer for process industries)|ERP/design workstations; CAD desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Supplies valves to process industries; brand expansion (Swastik)|Top valve manufacturer in Surat; process-industry supplier|64|B|Plant Head / Purchase / Director|Contact found|Ball/needle/industrial valves; brand 'Swastik'
Nova Dyestuff Industries Pvt Ltd|GIDC Manufacturing|Dyes & Dye Intermediates|Pandesara|250/1/2, GIDC Estate, Nr Rachana Dyeing, Pandesara, Surat 394221, Gujarat||||https://www.indiamart.com/nova-dyestuff-industries-ltd/|IndiaMART|Medium (dyes & intermediates manufacturer)|ERP servers; plant & office desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Manufacture of dye intermediates & disperse dyes; export demand|Established dyestuff manufacturer in Pandesara|60|B|IT Manager / Purchase / Director|Existence-verified (contact pending)|Red Dyestuff BF HC, dye intermediates
Blue Chip Chemicals Pvt Ltd|GIDC Manufacturing|Dyes (Disperse)|Pandesara|Plot No. 251, I-328, GIDC Estate, Pandesara, Surat 394221, Gujarat||||https://surat-district.infoisinfo.co.in/search/chemical|Business directory|Medium (disperse dyes manufacturer)|ERP servers; plant & office desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Disperse dye manufacturing; textile dye demand|Established disperse dyes maker in Pandesara|58|C|IT Manager / Purchase / Director|Existence-verified (contact pending)|Disperse dyes and other dyes
Akash (Aakash) Plastopack Pvt Ltd|GIDC Manufacturing|Plastics / Flexible Packaging Film|GIDC Sachin|Plot No 1 141/142, Road No ID-1, GIDC Sachin, Surat 394230, Gujarat||||https://www.indiamart.com/aakash-plastopack-private-limted/|IndiaMART|Medium (PVC cling/twist film manufacturer; estd 1996)|ERP servers; plant & office desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Flexible packaging film production; food-grade film demand|Established flexible packaging film maker|56|C|Purchase / Director|Existence-verified (contact pending)|PVC cling film, PVC twist wrap films
ArcelorMittal Nippon Steel India (AM/NS, ex-Essar Steel) Hazira|GIDC Manufacturing|Steel / Process Plant|Hazira|27 km, Surat-Hazira Road, Hazira, Surat 394270, Gujarat|https://www.amns.in/|||https://www.amns.in/contact-us|Company website|Very Large (integrated steel plant)|ERP/SAP servers + storage; large desktop fleet; industrial/rugged PCs; very large-area CCTV; enterprise networking + Wi-Fi; biometric access; AMC|Integrated steel plant; ongoing capacity expansion plans at Hazira|Major steel producer; large brownfield expansion plans|95|A|IT Manager / Plant Head / Purchase|Existence-verified (contact pending)|Flat/long steel; acquired by ArcelorMittal-Nippon 2019
Devchand Engineers Pvt Ltd|GIDC Manufacturing|Engineering / Pressure Vessels & Industrial Supplies|GIDC Sachin|Plot No A4/5, Dandi Road, Road No 11, Sachin, Surat 394230, Gujarat||||https://www.indiamart.com/devchand-engineers/profile.html|IndiaMART|Medium (estd 1957; industrial supplies & pressure vessels)|ERP/design workstations; CAD desktops; industrial PCs; CCTV; networking + Wi-Fi; biometric access; AMC|Manufacturing & supply of pressure vessels and industrial supplies|Long-established (1957) engineering firm|60|B|Plant Head / Purchase / Director|Existence-verified (contact pending)|Pressure vessels; industrial supplies group
